CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Kelowna, Kamloops et Cariboo (C.-B.)	01/05/2009 12:00:00 AM	Kelowna, Kamloops et Cariboo (C.-B.), 1 mai au 31 août 2009. La saison des feux 2009 a enregistré 3 200 départs d’incendies, don’t 213 dans des régions sauvages à proximité de régions urbaines. Le 18 juillet, des feux se sont déclarés dans les localités de Glenrosa et Rose Valley, à l’ouest de Kelowna, et se sont combinés avec un feu à Terrace Mountain, à l’ouest de Fintry, ce qui a entraîné des alertes et ordres d’évacuation multiples. Juillet fut également une période fortement orageuse et, d’un bout à l’autre de la province, de multiples incendies d’importance ont été causés par la foudre. Les températures ont continué d’atteindre des sommets inégalés et les précipitations dans la plupart des secteurs ont été peu abondantes. Début septembre, tout le personnel travaillait encore durement pour contenir les feux dans les régions de Kamloops et de Cariboo. Le feu de Lava Canyon, le plus gros de tous, couvrait près de 55 000 hectares et continuait de progresser. De tous les feux qui se sont déclarés pendant la saison des feux, plus de 100 avaient des proportions importantes : au moins 27 ont rendu des ordres d’évacuation nécessaires et au moins une douzaine de plus ont donné lieu à des alertes d’évacuation. Environ 20 000 personnes ont été évacuées. Un pilote d’hélicoptère a perdu la vie dans l’exercice de ses fonctions.	1	0	20000	98743529.0000	5178856.4	31/08/2009 12:00:00 AM	81743529.0000	17000000.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Ottawa, Toronto et Windsor (ON)	25/04/2009 12:00:00 AM	Ottawa, Toronto et Windsor (ON), 25 avril 2009. Une série d’orages violents a parcouru le sud-ouest, le centre-sud et l’est de l’Ontario. Le vent à l’aéroport international Pearson à Toronto a atteint 115 km/h – plus fort vent enregistré depuis janvier 1978. Des fils électriques et des arbres ont été projetés sur le sol d’un bout à l’autre de la province, privant d’électricité quelque 100 000 consommateurs (300,000 personnes). Intimement liées à ces orages, des chutes de grêlons ont été enregistrées près de Parry Sound et des trombes d’eau dans la rivière des Outaouais ainsi que des vents à trajectoire rectiligne à Windsor et Ottawa. À Windsor, le toit du siège social d’un syndicat a été arraché répandant des débris de matériaux et de vitres cassées devant le bâtiment et sur le gazon environnant. À Ottawa, à l’aéroclub de Rockcliffe, des vents violents ont endommagé 18 avions. À l’un et à l’autre endroit, les vents, d’une intensité de F0, ont atteint 110 km/h.	0	0	0	0.0000	0.0	25/04/2009 12:00:00 AM								300000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Saint John, Miramichi et Restigouche Rivier (N.-B.)	05/04/2009 12:00:00 AM	Rivières Saint John, Miramichi et Restigouche (N.­B.), le 5 avril au 4 mai 2009. De nombreuses collectivités ont été inondées par suite d’une crue nivale au printemps 2009, principalement en raison de la formation d’embâcles qui ont fait monter le niveau des eaux des rivières Saint John, Miramichi et Restigouche du 5 avril au 4 mai. Des résidences privées, des entreprises et des infrastructures du secteur public, notamment les réseaux routiers, ont été endommagées par suite des inondations. Les coûts préliminaires admissibles s’élèveraient à deux millions de dollars. La part du gouvernement fédéral serait d’environ 626 000 $.	0	0	0	2000000.0000	104895.1	04/05/2009 12:00:00 AM	626000.0000	1374000.0000						0	0.0	
Désastre	Naturel	Biologique	Pandémie	Citoyens affectÃ©s Ã  travers le Canada	01/04/2009 12:00:00 AM	D’un bout à l’autre du Canada, 1 avril 2009 à 1 février 2010. Une nouvelle souche de grippe pandémique. Les premiers cas ont été observés au Mexique et la grippe s’est rapidement répandue partout dans le monde. Au Canada, 8 582 personnes ont été hospitalisées, 1 448 ont été admises aux soins intensifs et 425 sont décédées.	425	8582	0	0.0000	0.0	01/02/2010 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements et Selkirk (MB)	24/03/2009 12:00:00 AM	Première nation de Roseau River, Sioux Falls, Première nation de Peguis, St. Andrews, St. Clements et Selkirk (MB), 24 mars 2009. Des inondations de surface causées par une combinaison de fonte des neiges, de précipitations saisonnières et de débâcle printanière ont, entre le 24 mars et le 21 mai, affecté la région sud du Manitoba où se trouve le secteur hydrographique des rivières Rouge, Pembina, Assiniboine et Souris. Le phénomène a causé des inondations dans des secteurs d’habitation et entraîné l’évacuation de gens dans nombre de localités, notamment à la Première nation de la rivière Roseau, à Sioux Falls, à la Première nation de Peguis, à St. Andrews, à St. Clements et à Selkirk. Ces inondations ont causé des dommages à des infrastructures publiques telles que des ponts et des routes. Trois facteurs ont principalement occasionné ces inondations printanières : 1) de fortes pluies automnales, environ 43 p. 100 de plus qu’à la normale, ont saturé le sol juste avant le gel de début décembre, laissant à celui-ci peu de capacité pour l’absorption de l’eau de la fonte des neiges au printemps; 2) l’hiver a été marqué par une neige abondante qui, dans le sud du Manitoba, a connu des accumulations de 25 % supérieures à la normale. Des chutes de neige abondantes et de copieuses pluies printanières avaient gonflé le cour supérieur de la Dakota du Nord, faisant refluer des quantités d’eau excessives vers le nord, jusqu’au Canada, via la rivière Rouge et ses tributaires; 3) un printemps anormalement froid a ralenti la fonte des neiges du bassin, favorisant le transport de glace fondante dans les rivières et le débordement de celles-ci sur les terres avoisinantes à la faveur des fossés et des ponceaux.	0	0	3000	76506000.0000	4012552.4	21/05/2009 12:00:00 AM	70006000.0000	6500000.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Saskatchewan et Alberta	01/03/2009 12:00:00 AM	Saskatchewan et Alberta, 1 mars au 1 juillet 2009. La Commission canadienne du blé prévoyait des récoltes 20 p. 100 moins abondantes dans l’ensemble des Prairies. Une douzaine de comtés et des districts municipaux en Alberta ont déclarés en état d’urgence et de sinistre pour cause de sécheresse. Par exemple, Saskatoon avait reçu moins du quart des précipitations printanières habituelles, ce qui avait fait des mois de mars, avril et mai les mois les plus secs de mémoire de statisticien, soit depuis 1892. Ce n’est pas seulement le printemps qui avait été sec. La période pendant laquelle le sol se recharge en humidité, soit entre le 1er septembre et le 31 mars, avait, en 2009, reçu moins de 60 p. 100 des quantités normales de précipitations. Dans la partie ouest de la province, les conditions de sécheresse étaient encore plus marquées, comme en font foi les quantités de précipitations tombées à Edmonton où, sur la période de 12 mois de juillet 2008 à juin 2009, le total des pluies et des chutes de neige n’a atteint que 234 mm, soit moins de la moitié de la quantité normale, ce qui a fait de cette période la période la plus sèche depuis 1880. Ce qui n’a pas amélioré les choses, au cours de huit des dix dernières années, la capitale de l’Alberta (Edmonton) avait reçu moins de précipitations de pluie et de neige que la moyenne globale des 30 dernières années, mais aucune n’avait été aussi sèche que cette dernière année. Il n’est pas surprenant que, comme on l’a par ailleurs constaté, le débit de la rivière Saskatchewan Nord était au troisième niveau le plus bas enregistré en près d’un siècle.	0	0	0	0.0000	0.0	01/07/2009 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Districts régionaux de Vancouver, de la vallée du Fraser et du Grand Vancouver (C.-B.)	06/01/2009 12:00:00 AM	Districts régionaux de Vancouver, de la vallée du Fraser et du Grand Vancouver (C.-B.) du 6 au 8 janvier 2009. Une forte tempête de pluie s’est abattue sur les districts régionaux de Vancouver, de la vallée du Fraser et du grand Vancouver du 6 au 8 janvier causant des inondations, des coulées boueuses et des glissements de terrain jusqu’au 31 janvier. Les coûts préliminaires admissibles s’élèveraient à 16 500 000 $. La part du gouvernement fédéral serait d’environ 6 900 000 $.	0	0	0	13191884.0000	691882.0	08/01/2009 12:00:00 AM	3591884.0000	9600000.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Grande région de Vancouver et vallée du Fraser (C.-B.)	06/01/2009 12:00:00 AM	Grande région de Vancouver et vallée du Fraser (C.-B), du 6 au 8 janvier 2009. Après que la Colombie-Britannique ait reçu des chutes de neige supérieures à la moyenne en décembre 2008, un système dépressionnaire en altitude a apporté du temps chaud et de fortes pluies à Vancouver et dans la région de la vallée du Fraser. La période de fortes pluies du 6 au 8 janvier a provoqué des inondations, des glissements de terrain et des coulées de boue. La ville de Hope a enregistré 214 mm de pluie et celle de Chilliwack 164 mm. Chilliwack a décrété l’état d’urgence local dans la mesure où les inondations ont causé des dommages importants aux résidences et à la chaussée.	0	0	0	3591884.0000	188385.5	08/01/2009 12:00:00 AM	3591884.0000							0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Île-du-Prince-Édouard	13/12/2008 12:00:00 AM	Île-du-Prince-Édouard, 13 décembre 2008. Une tempête de verglas survenue le 13 décembre 2008 a provoqué la chute de 300 poteaux électriques, ce qui a entraîné l’une des pires pannes de courant depuis le milieu des années 1970. Les réparations ont coûté environ 1,5 million de dollars à Maritime Electric.  Environ 95 % des habitants de l’Île étaient privés d’électricité, et un mélange de pluie verglaçante et de grésil a laissé d’épaisses couches de glace sur les toits, les arbres et les lignes de transport d’électricité. Les lignes recouvertes de glace et les vents violents ont causé la chute de poteaux électriques. Des centre d’accueil de fortune ont été mis sur pied partout dans la province dans des locaux de la Légion, des casernes de pompiers, des écoles et des centres communautaires. Des équipes de sauvetage et d’ouvriers électriciens sont venues de l’extérieur de la province pour apporter leur aide. Des militaires étaient aussi en disponibilité à la Base des Forces canadiennes Gagetown (Nouveau-Brunswick).				0.0000	0.0	13/12/2008 12:00:00 AM								127283		
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Yarmouth (N.-É.)	28/09/2008 12:00:00 AM	Yarmouth (N.-É.), 28 septembre 2008. La tempête tropicale Kyle a touché terre et causé des fortes pluies et des vents violents, soufflant jusqu’à 100 km/h, qui ont privé 40 000 personnes d’électricité en plus de causer des dommages importants aux infrastructures et aux biens personnels.				0.0000	0.0	28/09/2008 12:00:00 AM								40000		
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Provinces Maritime	28/09/2008 12:00:00 AM	Provinces Maritimes, le 28 septembre 2008. La tempête tropicale Kyle a touché terre au Canada Atlantique entre les comtés de Yarmouth et de Digby, dans l’Ouest de la Nouvelle-Écosse, le 28 septembre à 21 h 30 HAE. La tempête Kyle recouvrait une superficie supérieure à 1 000 kilomètres alors qu’elle se déplaçait en direction nord-nord-est en provenance des États-Unis, avant d’atteindre le Canada sous la forme d’une tempête de catégorie 1 comportant des vents soufflant à 120 km/h. La tempête a apporté de fortes pluies sur le Nouveau-Brunswick et le Québec, et certains endroits du Nouveau-Brunswick ont reçu jusqu’à 72 mm de pluie. On a signalé des pannes de courant dans les trois provinces maritimes. En Nouvelle-Écosse, 40 000 clients (soit environ 120 000 personnes) ont été privés d’électricité. La tempête a également généré une onde de tempête d’une hauteur estimée à 80 cm.	0	0	0	0.0000	0.0	28/09/2008 12:00:00 AM								120000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Kingston (ON)	15/09/2008 12:00:00 AM	Kingston (ON), le 15 septembre 2008. Le vent et une tempête de pluie nocturnes ont frappé Kingston, privant d’électricité des milliers de foyers situés dans le secteur, mettant un traversier hors service et détruisant des petits édifices. La ville de Kingston a reçu 20 mm de pluie au cours de la nuit et a été frappée par des rafales soufflant à 67 km/h. Partout dans le Sud-Est de l’Ontario, 25 000 foyers et entreprises (soit environ 75 000 personnes) ont été privés d’électricité.	0	0	0	0.0000	0.0	15/09/2008 12:00:00 AM								75000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Saint John (N.-B.)	07/09/2008 12:00:00 AM	Saint John (N.-B.), le 7 septembre 2008. La tempête tropicale Hanna a déversé des trombes d’eau sur des collectivités déjà envahies par l’eau dans les provinces maritimes le 7 septembre. Au moment où elle a atteint le Canada Atlantique, Hanna a été déclassée à la catégorie de tempête post-tropicale. Elle est demeurée au stade de bourrasque tout le temps de sa course le long de la côte de Fundy en Nouvelle-Écosse, de l’Est de l’Île-du-Prince-Édouard, du Nord de Cape Breton et du Sud de Terre-Neuve. La tempête a généré des rafales de 80 km/h et de fortes pluies. La ville de Saint John a été durement touchée par 146 mm de pluie. Des dizaines de routes de Saint John ont été inondées et fermées, notamment des tronçons du chemin de fer du Sud du Nouveau-Brunswick. Des pannes de courant dispersées ont aussi été signalées au Nouveau-Brunswick et en Nouvelle-Écosse.	0	0	0	675103.0000	35500.6	07/09/2008 12:00:00 AM	675103.0000							0	0.0	
